PMCID,FIRST_AUTHOR,FIRST_AUTHOR_NAME,LAST_AUTHOR,LAST_AUTHOR_NAME,ASSOCIATED_AUTHORS,FIRST_AUTHOR_NATION_NAME,FIRST_AUTHOR_COUNTRY_PROBABILITY_NAME,FIRST_AUTHOR_NATION_STATUS_NAME,FIRST_AUTHOR_NATION_SURNAME,FIRST_AUTHOR_COUNTRY_PROBABILITY_SURNAME,FIRST_AUTHOR_NATION_STATUS_SURNAME,FIRST_AUTHOR_GENDER,FIRST_AUTHOR_GENDER_PROBABILITY,FIRST_NAME_GENDER_STATUS,FIRST_AUTHOR_SELECTED_NATION_CATEGORY,LAST_AUTHOR_NATION_NAME,LAST_AUTHOR_COUNTRY_PROBABILITY_NAME,LAST_AUTHOR_NATION_STATUS_NAME,LAST_AUTHOR_NATION_SURNAME,LAST_AUTHOR_COUNTRY_PROBABILITY_SURNAME,LAST_AUTHOR_NATION_STATUS_SURNAME,LAST_AUTHOR_GENDER,LAST_AUTHOR_GENDER_PROBABILITY,LAST_AUTHOR_GENDER_STATUS,LAST_AUTHOR_SELECTED_NATION_CATEGORY
3DBIONOTES v3.0: Crossing molecular and structural biology data with genomic variations.,Joan Segura,Joan,J M Carazo,J M,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.88,PASS,
"3DBIONOTES: A unified, enriched and interactive view of macromolecular information.",D Tabas-Madrid,D,J M Carazo,J M,PASS,,,,,,,,,PASS,,,,,,,,male,0.88,PASS,
3DBionotes COVID-19 Edition.,Jose Ramon Macias,Jose Ramon,Jose Maria Carazo,Jose Maria,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
3DCONS-DB: A Database of Position-Specific Scoring Matrices in Protein Structures.,Ruben Sanchez-Garcia,Ruben,Joan Segura,Joan,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.83,PASS,
3DIANA: 3D Domain Interaction Analysis: A Toolbox for Quaternary Structure Modeling.,Joan Segura,Joan,Jose Maria Carazo,Jose Maria,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.99,PASS,
3DPatch: fast 3D structure visualization with residue conservation.,David Jakubec,David,Robert D Finn,Robert D,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
"A 1 bp deletion in HACE1 causes ataxia in Norwegian elkhound, black.",Kim K L Bellamy,Kim K L,Frode Lingaas,Frode,PASS,,,,,,,female,0.75,PASS,,,,,,,,male,0.99,PASS,
A 3D cellular context for the macromolecular world.,Ardan Patwardhan,Ardan,Gerard J Kleywegt,Gerard J,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,1.0,PASS,
"A Biobanking System for Diagnostic Images: Architecture Development, COVID-19-Related Use Cases, and Performance Evaluation.",Giuseppina Esposito,Giuseppina,Antonio Pescapè,Antonio,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
A Boron-Containing Compound Acting on Multiple Targets Against Alzheimer's Disease. Insights from Ab Initio and Molecular Dynamics Simulations.,Alessandra G Ritacca,Alessandra G,Emilia Sicilia,Emilia,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,0.99,PASS,
A Census and Categorization Method of Epitranscriptomic Marks.,Julia Mathlin,Julia,Teresa Colombo,Teresa,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,1.0,PASS,
"A Chromosome-Level Reference Genome for the Black-Legged Kittiwake (Rissa tridactyla), a Declining Circumpolar Seabird.",Marcella Sozzoni,Marcella,Diego Rubolini,Diego,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
"A Community-Driven, Openly Accessible Molecular Pathway Integrating Knowledge on Malignant Pleural Mesothelioma.",Marvin Martens,Marvin,Ferdinando Cerciello,Ferdinando,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
0s and 1s in marine molecular research: a regional HPC perspective.,Haris Zafeiropoulos,Haris,Evangelos Pafilis,Evangelos,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
"1,4-Disubstituted 1H-1,2,3-Triazole Containing Peptidotriazolamers: A New Class of Peptidomimetics With Interesting Foldamer Properties.",David C Schröder,David C,Norbert Sewald,Norbert,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
20 years of the SMART protein domain annotation resource.,Ivica Letunic,Ivica,Peer Bork,Peer,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,0.98,PASS,
2022 Outstanding Contributions to ISCB Award: Reinhard Schneider.,Christina Fogg,Christina,Martin Vingron,Martin,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.99,PASS,
25 years of basic and translational science in EP Europace: novel insights into arrhythmia mechanisms and therapeutic strategies.,Carol Ann Remme,Carol Ann,Katja E Odening,Katja E,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
2DProts: Database of Family-Wide Protein Secondary Structure Diagrams.,Ivana Hutařová Vařeková,Ivana,Karel Berka,Karel,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.96,PASS,
3D-Beacons: Decreasing the gap between protein sequences and structures through a federated network of protein structure data resources,Mihaly Varadi,Mihaly,Sameer Velankar,Sameer,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.99,PASS,
3D-Beacons: decreasing the gap between protein sequences and structures through a federated network of protein structure data resources.,Mihaly Varadi,Mihaly,Sameer Velankar,Sameer,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.99,PASS,
3DBIONOTES v2.0: a web server for the automatic annotation of macromolecular structures.,Joan Segura,Joan,J M Carazo,J M,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.88,PASS,
3DBIONOTES v3.0: Crossing molecular and structural biology data with genomic variations.,Joan Segura,Joan,J M Carazo,J M,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.88,PASS,
"3DBIONOTES: A unified, enriched and interactive view of macromolecular information.",D Tabas-Madrid,D,J M Carazo,J M,PASS,,,,,,,,,PASS,,,,,,,,male,0.88,PASS,
3DBionotes COVID-19 Edition.,Jose Ramon Macias,Jose Ramon,Jose Maria Carazo,Jose Maria,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
3DCONS-DB: A Database of Position-Specific Scoring Matrices in Protein Structures.,Ruben Sanchez-Garcia,Ruben,Joan Segura,Joan,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.83,PASS,
3DIANA: 3D Domain Interaction Analysis: A Toolbox for Quaternary Structure Modeling.,Joan Segura,Joan,Jose Maria Carazo,Jose Maria,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.99,PASS,
3DPatch: fast 3D structure visualization with residue conservation.,David Jakubec,David,Robert D Finn,Robert D,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
"A 1 bp deletion in HACE1 causes ataxia in Norwegian elkhound, black.",Kim K L Bellamy,Kim K L,Frode Lingaas,Frode,PASS,,,,,,,female,0.75,PASS,,,,,,,,male,0.99,PASS,
A 3D cellular context for the macromolecular world.,Ardan Patwardhan,Ardan,Gerard J Kleywegt,Gerard J,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,1.0,PASS,
"A Biobanking System for Diagnostic Images: Architecture Development, COVID-19-Related Use Cases, and Performance Evaluation.",Giuseppina Esposito,Giuseppina,Antonio Pescapè,Antonio,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
A Boron-Containing Compound Acting on Multiple Targets Against Alzheimer's Disease. Insights from Ab Initio and Molecular Dynamics Simulations.,Alessandra G Ritacca,Alessandra G,Emilia Sicilia,Emilia,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,0.99,PASS,
A Census and Categorization Method of Epitranscriptomic Marks.,Julia Mathlin,Julia,Teresa Colombo,Teresa,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,1.0,PASS,
"A Chromosome-Level Reference Genome for the Black-Legged Kittiwake (Rissa tridactyla), a Declining Circumpolar Seabird.",Marcella Sozzoni,Marcella,Diego Rubolini,Diego,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
"A Community-Driven, Openly Accessible Molecular Pathway Integrating Knowledge on Malignant Pleural Mesothelioma.",Marvin Martens,Marvin,Ferdinando Cerciello,Ferdinando,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
0s and 1s in marine molecular research: a regional HPC perspective.,Haris Zafeiropoulos,Haris,Evangelos Pafilis,Evangelos,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
"1,4-Disubstituted 1H-1,2,3-Triazole Containing Peptidotriazolamers: A New Class of Peptidomimetics With Interesting Foldamer Properties.",David C Schröder,David C,Norbert Sewald,Norbert,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
20 years of the SMART protein domain annotation resource.,Ivica Letunic,Ivica,Peer Bork,Peer,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,0.98,PASS,
2022 Outstanding Contributions to ISCB Award: Reinhard Schneider.,Christina Fogg,Christina,Martin Vingron,Martin,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.99,PASS,
25 years of basic and translational science in EP Europace: novel insights into arrhythmia mechanisms and therapeutic strategies.,Carol Ann Remme,Carol Ann,Katja E Odening,Katja E,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
2DProts: Database of Family-Wide Protein Secondary Structure Diagrams.,Ivana Hutařová Vařeková,Ivana,Karel Berka,Karel,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.96,PASS,
3D-Beacons: Decreasing the gap between protein sequences and structures through a federated network of protein structure data resources,Mihaly Varadi,Mihaly,Sameer Velankar,Sameer,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.99,PASS,
3D-Beacons: decreasing the gap between protein sequences and structures through a federated network of protein structure data resources.,Mihaly Varadi,Mihaly,Sameer Velankar,Sameer,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.99,PASS,
3DBIONOTES v2.0: a web server for the automatic annotation of macromolecular structures.,Joan Segura,Joan,J M Carazo,J M,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.88,PASS,
3DBIONOTES v3.0: Crossing molecular and structural biology data with genomic variations.,Joan Segura,Joan,J M Carazo,J M,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.88,PASS,
"3DBIONOTES: A unified, enriched and interactive view of macromolecular information.",D Tabas-Madrid,D,J M Carazo,J M,PASS,,,,,,,,,PASS,,,,,,,,male,0.88,PASS,
3DBionotes COVID-19 Edition.,Jose Ramon Macias,Jose Ramon,Jose Maria Carazo,Jose Maria,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
3DCONS-DB: A Database of Position-Specific Scoring Matrices in Protein Structures.,Ruben Sanchez-Garcia,Ruben,Joan Segura,Joan,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.83,PASS,
3DIANA: 3D Domain Interaction Analysis: A Toolbox for Quaternary Structure Modeling.,Joan Segura,Joan,Jose Maria Carazo,Jose Maria,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.99,PASS,
3DPatch: fast 3D structure visualization with residue conservation.,David Jakubec,David,Robert D Finn,Robert D,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
"A 1 bp deletion in HACE1 causes ataxia in Norwegian elkhound, black.",Kim K L Bellamy,Kim K L,Frode Lingaas,Frode,PASS,,,,,,,female,0.75,PASS,,,,,,,,male,0.99,PASS,
A 3D cellular context for the macromolecular world.,Ardan Patwardhan,Ardan,Gerard J Kleywegt,Gerard J,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,1.0,PASS,
"A Biobanking System for Diagnostic Images: Architecture Development, COVID-19-Related Use Cases, and Performance Evaluation.",Giuseppina Esposito,Giuseppina,Antonio Pescapè,Antonio,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
A Boron-Containing Compound Acting on Multiple Targets Against Alzheimer's Disease. Insights from Ab Initio and Molecular Dynamics Simulations.,Alessandra G Ritacca,Alessandra G,Emilia Sicilia,Emilia,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,0.99,PASS,
A Census and Categorization Method of Epitranscriptomic Marks.,Julia Mathlin,Julia,Teresa Colombo,Teresa,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,1.0,PASS,
"A Chromosome-Level Reference Genome for the Black-Legged Kittiwake (Rissa tridactyla), a Declining Circumpolar Seabird.",Marcella Sozzoni,Marcella,Diego Rubolini,Diego,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
"A Community-Driven, Openly Accessible Molecular Pathway Integrating Knowledge on Malignant Pleural Mesothelioma.",Marvin Martens,Marvin,Ferdinando Cerciello,Ferdinando,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
A Comparison of Bonded and Nonbonded Zinc(II) Force Fields with NMR Data.,Milana Bazayeva,Milana,Antonio Rosato,Antonio,PASS,,,,,,,female,0.98,PASS,,,,,,,,male,0.99,PASS,
A Comprehensive Analysis of 21 Actionable Pharmacogenes in the Spanish Population: From Genetic Characterisation to Clinical Impact.,Rocio Nunez-Torres,Rocio,Anna Gonzalez-Neira,Anna,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
A Comprehensive Overview of the Genes and Functions Required for Lettuce Infection by the Hemibiotrophic Phytopathogen Xanthomonas hortorum pv. vitians.,Lucas Morinière,Lucas,Franck Bertolla,Franck,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.99,PASS,
A Computational Approach to Elucidate the Interactions of Chemicals From Artemisia annua Targeted Toward SARS-CoV-2 Main Protease Inhibition for COVID-19 Treatment.,Titilayo Omolara Johnson,Titilayo Omolara,Carlos Adam Conte-Junior,Carlos Adam,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
A Cost Effective Scheme for the Highly Accurate Description of Intermolecular Binding in Large Complexes.,Jiří Czernek,Jiří,Vladimíra Czerneková,Vladimíra,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,1.0,PASS,
A DNA Structural Alphabet Distinguishes Structural Features of DNA Bound to Regulatory Proteins and in the Nucleosome Core Particle.,Bohdan Schneider,Bohdan,Jiří Černý,Jiří,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A DNA damage repair gene-associated signature predicts responses of patients with advanced soft-tissue sarcoma to treatment with trabectedin.,David S Moura,David S,Javier Martín-Broto,Javier,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Fundamental Investigation of Gas/Solid Heat and Mass Transfer in Structured Catalysts Based on Periodic Open Cellular Structures (POCS).,Claudio Ferroni,Claudio,Enrico Tronconi,Enrico,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Genome-Wide Association Study of a Biomarker of Nicotine Metabolism.,Anu Loukola,Anu,Jaakko Kaprio,Jaakko,PASS,,,,,,,female,0.76,PASS,,,,,,,,male,1.0,PASS,
A High-Quality Assembly of the Nine-Spined Stickleback (Pungitius pungitius) Genome.,Srinidhi Varadharajan,Srinidhi,Juha Merilä,Juha,PASS,,,,,,,female,0.96,PASS,,,,,,,,male,0.99,PASS,
A Histone Deacetylase Inhibitor Induces Acetyl-CoA Depletion Leading to Lethal Metabolic Stress in RAS-Pathway Activated Cells.,Agnes Basseville,Agnes,Susan E Bates,Susan E,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,1.0,PASS,
A Hybrid Hamiltonian for the Accelerated Sampling along Experimental Restraints.,Emanuel K Peter,Emanuel K,Jiří Černý,Jiří,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Jupyter notebook to explore protein conformations: An output of PaNOSC SP8 case,Irina Safiulina,Irina,Enol Fernández,Enol,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.97,PASS,
A Literature Review on Ethics for AI in Biomedical Research and Biobanking.,Michaela Kargl,Michaela,Heimo Müller,Heimo,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
A Low-Frequency Inactivating AKT2 Variant Enriched in the Finnish Population Is Associated With Fasting Insulin Levels and Type 2 Diabetes Risk.,Alisa Manning,Alisa,Cecilia M Lindgren,Cecilia M,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,1.0,PASS,
A Map of the Initiatives That Harmonize Patient Cohorts Across the World.,Ángel Rodríguez-Laso,Ángel,José Luis Ayuso,José Luis,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,0.99,PASS,
"A Methylotrophic Bacterium Growing with the Antidiabetic Drug Metformin as Its Sole Carbon, Nitrogen and Energy Source.",Pauline Chaignaud,Pauline,Stéphane Vuilleumier,Stéphane,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
A Mitochondrial Autonomously Replicating Sequence from Pichia pastoris for Uniform High Level Recombinant Protein Production.,Jan-Philipp Schwarzhans,Jan-Philipp,Karl Friehs,Karl,PASS,,,,,,,male,0.89,PASS,,,,,,,,male,0.99,PASS,
A Modular Metagenomics Pipeline Allowing for the Inclusion of Prior Knowledge Using the Example of Anaerobic Digestion.,Daniela Becker,Daniela,Florian Centler,Florian,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
A Multisystem Mitochondrial Disease Caused by a Novel MT-TL1 mtDNA Variant: A Case Report.,Domenico Giannese,Domenico,Michelangelo Mancuso,Michelangelo,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A New Technique for Determining Micronutrient Nutritional Quality in Fruits and Vegetables Based on the Entropy Weight Method and Fuzzy Recognition Method.,Xuemei Zhao,Xuemei,Dazhou Zhu,Dazhou,PASS,,,,,,,female,0.98,PASS,,,,,,,,male,0.56,PASS,
A Puzzling Anomaly in the 4-Mer Composition of the Giant Pandoravirus Genomes Reveals a Stringent New Evolutionary Selection Process.,Olivier Poirot,Olivier,Jean-Michel Claverie,Jean-Michel,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.62,PASS,
A Querying Method over RDF-ized Health Level Seven v2.5 Messages Using Life Science Knowledge Resources.,Yoshimasa Kawazoe,Yoshimasa,Kazuhiko Ohe,Kazuhiko,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Rat Model of Clinically Relevant Extracorporeal Circulation Develops Early Organ Dysfunctions.,Antoine Persello,Antoine,Benjamin Lauzier,Benjamin,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
A Recurrent VPS16 p.Arg187* Nonsense Variant in Early-Onset Generalized Dystonia.,Miriama Ostrozovicova,Miriama,Matej Skorvanek,Matej,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
A Reference Genome Sequence for the European Silver Fir (Abies alba Mill.): A Community-Generated Genomic Resource.,Elena Mosca,Elena,David B Neale,David B,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.98,PASS,
A Review on Viral Data Sources and Integration Methods for COVID-19 Mitigation,Anna Bernasconi,Anna,Stefano Ceri,Stefano,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
"A Robust and Universal Metaproteomics Workflow for Research Studies and Routine Diagnostics Within 24 h Using Phenol Extraction, FASP Digest, and the MetaProteomeAnalyzer.",Robert Heyer,Robert,Dirk Benndorf,Dirk,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Role for Human DNA Polymerase λ in Alternative Lengthening of Telomeres.,Elisa Mentegari,Elisa,Giovanni Maga,Giovanni,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
A SARS-CoV-2 cytopathicity dataset generated by high-content screening of a large drug repurposing collection.,Bernhard Ellinger,Bernhard,Sandra Ciesek,Sandra,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
A SARS-CoV-2 sequence submission tool for the European Nucleotide Archive.,Miguel Roncoroni,Miguel,Frederik Coppens,Frederik,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Sample Preparation Method for the Simultaneous Profiling of Signaling Lipids and Polar Metabolites in Small Quantities of Muscle Tissues from a Mouse Model for Sarcopenia.,Yupeng He,Yupeng,Thomas Hankemeier,Thomas,PASS,,,,,,,male,0.91,PASS,,,,,,,,male,1.0,PASS,
A Semi-automated Organoid Screening Method Demonstrates Epigenetic Control of Intestinal Epithelial Differentiation.,Jenny Ostrop,Jenny,Menno J Oudhoff,Menno J,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
A Simple Standard for Sharing Ontological Mappings (SSSOM).,Nicolas Matentzoglu,Nicolas,Christopher J Mungall,Christopher J,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Simple and Fast Assay Based on Carboxyfluorescein-Loaded Liposome for Quantitative DNA Detection.,Jacopo Sforzi,Jacopo,Simonetta Geninatti Crich,Simonetta,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,1.0,PASS,
"A Simple, Test-Based Method to Control the Overestimation Bias in the Analysis of Potential Prognostic Tumour Markers.",Marzia Ognibene,Marzia,Stefano Parodi,Stefano,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
A Strong Seasonality Pattern for Covid-19 Incidence Rates Modulated by UV Radiation Levels.,Christos Karapiperis,Christos,Christos A Ouzounis,Christos A,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A Tetragenococcus halophilus human gut isolate.,Cheick Oumar Guindo,Cheick Oumar,Ghiles Grine,Ghiles,PASS,,,,,,,male,0.96,PASS,,,,,,,,male,0.97,PASS,
A Volumetric Analysis of the 1H NMR Chemical Shielding in Supramolecular Systems.,Jiří Czernek,Jiří,Jiří Brus,Jiří,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A YAP/TAZ-ARHGAP29-RhoA Signaling Axis Regulates Podocyte Protrusions and Integrin Adhesions.,Manuel Rogg,Manuel,Christoph Schell,Christoph,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
A benchmark of hemoglobin blocking during library preparation for mRNA-Sequencing of human blood samples.,Florian Uellendahl-Werth,Florian,David Ellinghaus,David,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
A benchmark study of ab initio gene prediction methods in diverse eukaryotic organisms.,Nicolas Scalzitti,Nicolas,Julie D Thompson,Julie D,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,1.0,PASS,
A case of novel DYT6 dystonia variant with serious complications after deep brain stimulation therapy: a case report.,M Grofik,M,R Jech,R,PASS,,,,,,,,,PASS,,,,,,,,,,PASS,
A case study of salivary microbiome in smokers and non-smokers in Hungary: analysis by shotgun metagenome sequencing.,Roland Wirth,Roland,Kornél L Kovács,Kornél L,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
A catalogue of 863 Rett-syndrome-causing MECP2 mutations and lessons learned from data integration.,Friederike Ehrhart,Friederike,Chris T Evelo,Chris T,PASS,,,,,,,female,0.98,PASS,,,,,,,,male,0.83,PASS,
"A chromosome-length genome assembly and annotation of blackberry (Rubus argutus, cv. ""Hillquist"").",Tomáš Brůna,Tomáš,Margaret Worthington,Margaret,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,1.0,PASS,
A citizen-science-enabled catalogue of the vaginal microbiome and associated factors.,Sarah Lebeer,Sarah,Veronique Verhoeven,Veronique,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
A cluster of broadly neutralizing IgG against BK polyomavirus in a repertoire dominated by IgM.,Ngoc-Khanh Nguyen,Ngoc-Khanh,Dorian McIlroy,Dorian,PASS,,,,,,,female,0.74,PASS,,,,,,,,male,0.95,PASS,
A community challenge for a pancancer drug mechanism of action inference from perturbational profile data.,Eugene F Douglass,Eugene F,Andrea Califano,Andrea,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.69,PASS,
A community proposal to integrate proteomics activities in ELIXIR,Juan Antonio Vizcaíno,Juan Antonio,Oliver Kohlbacher,Oliver,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
A community proposal to integrate proteomics activities in ELIXIR.,Juan Antonio Vizcaíno,Juan Antonio,Oliver Kohlbacher,Oliver,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
