PMCID,FIRST_AUTHOR,FIRST_AUTHOR_NAME,LAST_AUTHOR,LAST_AUTHOR_NAME,ASSOCIATED_AUTHORS,FIRST_AUTHOR_GENDER,FIRST_AUTHOR_GENDER_PROBABILITY,FIRST_NAME_GENDER_STATUS,LAST_AUTHOR_GENDER,LAST_AUTHOR_GENDER_PROBABILITY,LAST_AUTHOR_GENDER_STATUS
3DBionotes COVID-19 Edition.,Jose Ramon Macias,Jose Ramon,Jose Maria Carazo,Jose Maria,PASS,male,1.0,PASS,male,0.99,PASS
3DCONS-DB: A Database of Position-Specific Scoring Matrices in Protein Structures.,Ruben Sanchez-Garcia,Ruben,Joan Segura,Joan,PASS,male,1.0,PASS,female,0.83,PASS
3DIANA: 3D Domain Interaction Analysis: A Toolbox for Quaternary Structure Modeling.,Joan Segura,Joan,Jose Maria Carazo,Jose Maria,PASS,female,0.83,PASS,male,0.99,PASS
3DPatch: fast 3D structure visualization with residue conservation.,David Jakubec,David,Robert D Finn,Robert D,PASS,male,1.0,PASS,male,1.0,PASS
"A 1 bp deletion in HACE1 causes ataxia in Norwegian elkhound, black.",Kim K L Bellamy,Kim K L,Frode Lingaas,Frode,PASS,female,0.75,PASS,male,0.99,PASS
A 3D cellular context for the macromolecular world.,Ardan Patwardhan,Ardan,Gerard J Kleywegt,Gerard J,PASS,male,0.97,PASS,male,1.0,PASS
"A Biobanking System for Diagnostic Images: Architecture Development, COVID-19-Related Use Cases, and Performance Evaluation.",Giuseppina Esposito,Giuseppina,Antonio Pescapè,Antonio,PASS,female,0.99,PASS,male,0.99,PASS
A Boron-Containing Compound Acting on Multiple Targets Against Alzheimer's Disease. Insights from Ab Initio and Molecular Dynamics Simulations.,Alessandra G Ritacca,Alessandra G,Emilia Sicilia,Emilia,PASS,female,1.0,PASS,female,0.99,PASS
A Census and Categorization Method of Epitranscriptomic Marks.,Julia Mathlin,Julia,Teresa Colombo,Teresa,PASS,female,0.99,PASS,female,1.0,PASS
"A Chromosome-Level Reference Genome for the Black-Legged Kittiwake (Rissa tridactyla), a Declining Circumpolar Seabird.",Marcella Sozzoni,Marcella,Diego Rubolini,Diego,PASS,female,1.0,PASS,male,1.0,PASS
"A Community-Driven, Openly Accessible Molecular Pathway Integrating Knowledge on Malignant Pleural Mesothelioma.",Marvin Martens,Marvin,Ferdinando Cerciello,Ferdinando,PASS,male,0.99,PASS,male,1.0,PASS
A Comparison of Bonded and Nonbonded Zinc(II) Force Fields with NMR Data.,Milana Bazayeva,Milana,Antonio Rosato,Antonio,PASS,female,0.98,PASS,male,0.99,PASS
A Comprehensive Analysis of 21 Actionable Pharmacogenes in the Spanish Population: From Genetic Characterisation to Clinical Impact.,Rocio Nunez-Torres,Rocio,Anna Gonzalez-Neira,Anna,PASS,female,0.99,PASS,female,0.99,PASS
A Comprehensive Overview of the Genes and Functions Required for Lettuce Infection by the Hemibiotrophic Phytopathogen Xanthomonas hortorum pv. vitians.,Lucas Morinière,Lucas,Franck Bertolla,Franck,PASS,male,0.99,PASS,male,0.99,PASS
A Computational Approach to Elucidate the Interactions of Chemicals From Artemisia annua Targeted Toward SARS-CoV-2 Main Protease Inhibition for COVID-19 Treatment.,Titilayo Omolara Johnson,Titilayo Omolara,Carlos Adam Conte-Junior,Carlos Adam,PASS,female,1.0,PASS,male,1.0,PASS
A Cost Effective Scheme for the Highly Accurate Description of Intermolecular Binding in Large Complexes.,Jiří Czernek,Jiří,Vladimíra Czerneková,Vladimíra,PASS,male,1.0,PASS,female,1.0,PASS
A DNA Structural Alphabet Distinguishes Structural Features of DNA Bound to Regulatory Proteins and in the Nucleosome Core Particle.,Bohdan Schneider,Bohdan,Jiří Černý,Jiří,PASS,male,1.0,PASS,male,1.0,PASS
A DNA damage repair gene-associated signature predicts responses of patients with advanced soft-tissue sarcoma to treatment with trabectedin.,David S Moura,David S,Javier Martín-Broto,Javier,PASS,male,1.0,PASS,male,1.0,PASS
A Fundamental Investigation of Gas/Solid Heat and Mass Transfer in Structured Catalysts Based on Periodic Open Cellular Structures (POCS).,Claudio Ferroni,Claudio,Enrico Tronconi,Enrico,PASS,male,1.0,PASS,male,1.0,PASS
A Genome-Wide Association Study of a Biomarker of Nicotine Metabolism.,Anu Loukola,Anu,Jaakko Kaprio,Jaakko,PASS,female,0.76,PASS,male,1.0,PASS
A High-Quality Assembly of the Nine-Spined Stickleback (Pungitius pungitius) Genome.,Srinidhi Varadharajan,Srinidhi,Juha Merilä,Juha,PASS,female,0.96,PASS,male,0.99,PASS
A Histone Deacetylase Inhibitor Induces Acetyl-CoA Depletion Leading to Lethal Metabolic Stress in RAS-Pathway Activated Cells.,Agnes Basseville,Agnes,Susan E Bates,Susan E,PASS,female,0.99,PASS,female,1.0,PASS
A Hybrid Hamiltonian for the Accelerated Sampling along Experimental Restraints.,Emanuel K Peter,Emanuel K,Jiří Černý,Jiří,PASS,male,1.0,PASS,male,1.0,PASS
A Jupyter notebook to explore protein conformations: An output of PaNOSC SP8 case,Irina Safiulina,Irina,Enol Fernández,Enol,PASS,female,0.99,PASS,male,0.97,PASS
A Literature Review on Ethics for AI in Biomedical Research and Biobanking.,Michaela Kargl,Michaela,Heimo Müller,Heimo,PASS,female,0.99,PASS,male,1.0,PASS
A Low-Frequency Inactivating AKT2 Variant Enriched in the Finnish Population Is Associated With Fasting Insulin Levels and Type 2 Diabetes Risk.,Alisa Manning,Alisa,Cecilia M Lindgren,Cecilia M,PASS,female,0.99,PASS,female,1.0,PASS
A Map of the Initiatives That Harmonize Patient Cohorts Across the World.,Ángel Rodríguez-Laso,Ángel,José Luis Ayuso,José Luis,PASS,male,0.97,PASS,male,0.99,PASS
"A Methylotrophic Bacterium Growing with the Antidiabetic Drug Metformin as Its Sole Carbon, Nitrogen and Energy Source.",Pauline Chaignaud,Pauline,Stéphane Vuilleumier,Stéphane,PASS,female,0.99,PASS,male,0.99,PASS
A Mitochondrial Autonomously Replicating Sequence from Pichia pastoris for Uniform High Level Recombinant Protein Production.,Jan-Philipp Schwarzhans,Jan-Philipp,Karl Friehs,Karl,PASS,male,0.89,PASS,male,0.99,PASS
A Modular Metagenomics Pipeline Allowing for the Inclusion of Prior Knowledge Using the Example of Anaerobic Digestion.,Daniela Becker,Daniela,Florian Centler,Florian,PASS,female,0.99,PASS,male,1.0,PASS
A Multisystem Mitochondrial Disease Caused by a Novel MT-TL1 mtDNA Variant: A Case Report.,Domenico Giannese,Domenico,Michelangelo Mancuso,Michelangelo,PASS,male,1.0,PASS,male,1.0,PASS
A New Technique for Determining Micronutrient Nutritional Quality in Fruits and Vegetables Based on the Entropy Weight Method and Fuzzy Recognition Method.,Xuemei Zhao,Xuemei,Dazhou Zhu,Dazhou,PASS,female,0.98,PASS,male,0.56,PASS
A Puzzling Anomaly in the 4-Mer Composition of the Giant Pandoravirus Genomes Reveals a Stringent New Evolutionary Selection Process.,Olivier Poirot,Olivier,Jean-Michel Claverie,Jean-Michel,PASS,male,0.99,PASS,female,0.62,PASS
A Querying Method over RDF-ized Health Level Seven v2.5 Messages Using Life Science Knowledge Resources.,Yoshimasa Kawazoe,Yoshimasa,Kazuhiko Ohe,Kazuhiko,PASS,male,1.0,PASS,male,1.0,PASS
A Rat Model of Clinically Relevant Extracorporeal Circulation Develops Early Organ Dysfunctions.,Antoine Persello,Antoine,Benjamin Lauzier,Benjamin,PASS,male,0.99,PASS,male,1.0,PASS
A Recurrent VPS16 p.Arg187* Nonsense Variant in Early-Onset Generalized Dystonia.,Miriama Ostrozovicova,Miriama,Matej Skorvanek,Matej,PASS,female,0.99,PASS,male,1.0,PASS
A Reference Genome Sequence for the European Silver Fir (Abies alba Mill.): A Community-Generated Genomic Resource.,Elena Mosca,Elena,David B Neale,David B,PASS,female,0.99,PASS,male,0.98,PASS
A Review on Viral Data Sources and Integration Methods for COVID-19 Mitigation,Anna Bernasconi,Anna,Stefano Ceri,Stefano,PASS,female,0.99,PASS,male,1.0,PASS
"A Robust and Universal Metaproteomics Workflow for Research Studies and Routine Diagnostics Within 24 h Using Phenol Extraction, FASP Digest, and the MetaProteomeAnalyzer.",Robert Heyer,Robert,Dirk Benndorf,Dirk,PASS,male,1.0,PASS,male,1.0,PASS
A Role for Human DNA Polymerase λ in Alternative Lengthening of Telomeres.,Elisa Mentegari,Elisa,Giovanni Maga,Giovanni,PASS,female,0.99,PASS,male,0.99,PASS
A SARS-CoV-2 cytopathicity dataset generated by high-content screening of a large drug repurposing collection.,Bernhard Ellinger,Bernhard,Sandra Ciesek,Sandra,PASS,male,1.0,PASS,female,0.99,PASS
A SARS-CoV-2 sequence submission tool for the European Nucleotide Archive.,Miguel Roncoroni,Miguel,Frederik Coppens,Frederik,PASS,male,1.0,PASS,male,1.0,PASS
A Sample Preparation Method for the Simultaneous Profiling of Signaling Lipids and Polar Metabolites in Small Quantities of Muscle Tissues from a Mouse Model for Sarcopenia.,Yupeng He,Yupeng,Thomas Hankemeier,Thomas,PASS,male,0.91,PASS,male,1.0,PASS
A Semi-automated Organoid Screening Method Demonstrates Epigenetic Control of Intestinal Epithelial Differentiation.,Jenny Ostrop,Jenny,Menno J Oudhoff,Menno J,PASS,female,0.99,PASS,male,0.99,PASS
A Simple Standard for Sharing Ontological Mappings (SSSOM).,Nicolas Matentzoglu,Nicolas,Christopher J Mungall,Christopher J,PASS,male,1.0,PASS,male,1.0,PASS
A Simple and Fast Assay Based on Carboxyfluorescein-Loaded Liposome for Quantitative DNA Detection.,Jacopo Sforzi,Jacopo,Simonetta Geninatti Crich,Simonetta,PASS,male,1.0,PASS,female,1.0,PASS
"A Simple, Test-Based Method to Control the Overestimation Bias in the Analysis of Potential Prognostic Tumour Markers.",Marzia Ognibene,Marzia,Stefano Parodi,Stefano,PASS,female,0.99,PASS,male,1.0,PASS
A Strong Seasonality Pattern for Covid-19 Incidence Rates Modulated by UV Radiation Levels.,Christos Karapiperis,Christos,Christos A Ouzounis,Christos A,PASS,male,1.0,PASS,male,1.0,PASS
A Tetragenococcus halophilus human gut isolate.,Cheick Oumar Guindo,Cheick Oumar,Ghiles Grine,Ghiles,PASS,male,0.96,PASS,male,0.97,PASS
A Volumetric Analysis of the 1H NMR Chemical Shielding in Supramolecular Systems.,Jiří Czernek,Jiří,Jiří Brus,Jiří,PASS,male,1.0,PASS,male,1.0,PASS
A YAP/TAZ-ARHGAP29-RhoA Signaling Axis Regulates Podocyte Protrusions and Integrin Adhesions.,Manuel Rogg,Manuel,Christoph Schell,Christoph,PASS,male,0.99,PASS,male,1.0,PASS
A benchmark of hemoglobin blocking during library preparation for mRNA-Sequencing of human blood samples.,Florian Uellendahl-Werth,Florian,David Ellinghaus,David,PASS,male,1.0,PASS,male,1.0,PASS
A benchmark study of ab initio gene prediction methods in diverse eukaryotic organisms.,Nicolas Scalzitti,Nicolas,Julie D Thompson,Julie D,PASS,male,1.0,PASS,female,1.0,PASS
A case of novel DYT6 dystonia variant with serious complications after deep brain stimulation therapy: a case report.,M Grofik,M,R Jech,R,PASS,,,PASS,,,PASS
A case study of salivary microbiome in smokers and non-smokers in Hungary: analysis by shotgun metagenome sequencing.,Roland Wirth,Roland,Kornél L Kovács,Kornél L,PASS,male,1.0,PASS,male,0.99,PASS
A catalogue of 863 Rett-syndrome-causing MECP2 mutations and lessons learned from data integration.,Friederike Ehrhart,Friederike,Chris T Evelo,Chris T,PASS,female,0.98,PASS,male,0.83,PASS
"A chromosome-length genome assembly and annotation of blackberry (Rubus argutus, cv. ""Hillquist"").",Tomáš Brůna,Tomáš,Margaret Worthington,Margaret,PASS,male,1.0,PASS,female,1.0,PASS
A citizen-science-enabled catalogue of the vaginal microbiome and associated factors.,Sarah Lebeer,Sarah,Veronique Verhoeven,Veronique,PASS,female,0.99,PASS,female,0.99,PASS
A cluster of broadly neutralizing IgG against BK polyomavirus in a repertoire dominated by IgM.,Ngoc-Khanh Nguyen,Ngoc-Khanh,Dorian McIlroy,Dorian,PASS,female,0.74,PASS,male,0.95,PASS
A community challenge for a pancancer drug mechanism of action inference from perturbational profile data.,Eugene F Douglass,Eugene F,Andrea Califano,Andrea,PASS,male,1.0,PASS,female,0.69,PASS
A community proposal to integrate proteomics activities in ELIXIR,Juan Antonio Vizcaíno,Juan Antonio,Oliver Kohlbacher,Oliver,PASS,male,1.0,PASS,male,0.99,PASS
A community proposal to integrate proteomics activities in ELIXIR.,Juan Antonio Vizcaíno,Juan Antonio,Oliver Kohlbacher,Oliver,PASS,male,1.0,PASS,male,0.99,PASS
A community proposal to integrate structural bioinformatics activities in ELIXIR (3D-Bioinfo Community),Christine Orengo,Christine,Bohdan Schneider,Bohdan,PASS,female,1.0,PASS,male,1.0,PASS
A community proposal to integrate structural bioinformatics activities in ELIXIR (3D-Bioinfo Community).,Christine Orengo,Christine,Bohdan Schneider,Bohdan,PASS,female,1.0,PASS,male,1.0,PASS
A comparison of approaches to accessing existing biological and chemical relational databases via SPARQL.,Jakub Galgonek,Jakub,Jiří Vondrášek,Jiří,PASS,male,1.0,PASS,male,1.0,PASS
A comparison of mechanistic signaling pathway activity analysis methods.,Alicia Amadoz,Alicia,Joaquín Dopazo,Joaquín,PASS,female,0.99,PASS,male,0.99,PASS
"A comprehensive analysis of the Lactuca sativa, L. transcriptome during different stages of the compatible interaction with Rhizoctonia solani.",Bart Verwaaijen,Bart,Andreas Schlüter,Andreas,PASS,male,1.0,PASS,male,1.0,PASS
A comprehensive assessment of somatic mutation detection in cancer using whole-genome sequencing.,Tyler S Alioto,Tyler S,Ivo G Gut,Ivo G,PASS,male,1.0,PASS,male,1.0,PASS
A comprehensive database for integrated analysis of omics data in autoimmune diseases.,Jordi Martorell-Marugán,Jordi,Pedro Carmona-Sáez,Pedro,PASS,male,0.99,PASS,male,0.99,PASS
A comprehensive database of squirrel distribution and occurrence in South Asia.,Udayraj Swati,Udayraj,Nandini Rajamani,Nandini,PASS,male,0.94,PASS,female,0.99,PASS
"A comprehensive overview of microbiome data in the light of machine learning applications: categorization, accessibility, and future directions.",Bablu Kumar,Bablu,Graziano Pesole,Graziano,PASS,male,0.96,PASS,male,0.99,PASS
A concentric circles view of health data relations facilitates understanding of sociotechnical challenges for learning health systems and the role of federated data networks.,Richard Milne,Richard,Nigel Hughes,Nigel,PASS,male,1.0,PASS,male,1.0,PASS
A crowdsourcing database for the copy-number variation of the Spanish population.,Daniel López-López,Daniel,Joaquin Dopazo,Joaquin,PASS,male,0.99,PASS,male,1.0,PASS
A crowdsourcing workflow for extracting chemical-induced disease relations from free text.,Tong Shu Li,Tong Shu,Andrew I Su,Andrew I,PASS,female,1.0,PASS,male,1.0,PASS
A dataset for assessing phytolith data for implementation of the FAIR data principles.,Céline Kerfant,Céline,Emma Karoune,Emma,PASS,female,1.0,PASS,female,0.97,PASS
A de novo STUB1 variant associated with an early adult-onset multisystemic ataxia phenotype.,David Mengel,David,Matthis Synofzik,Matthis,PASS,male,1.0,PASS,male,0.99,PASS
A design framework and exemplar metrics for FAIRness.,Mark D Wilkinson,Mark D,Michel Dumontier,Michel,PASS,male,0.95,PASS,male,0.94,PASS
A digital repository with an extensible data model for biobanking and genomic analysis management.,Massimiliano Izzo,Massimiliano,Luigi Varesio,Luigi,PASS,male,1.0,PASS,male,0.99,PASS
A federated authentication schema among multiple identity providers.,João Rafael Almeida,João Rafael,José Luís Oliveira,José Luís,PASS,male,0.99,PASS,male,1.0,PASS
A framework to assess the quality and impact of bioinformatics training across ELIXIR.,Kim T Gurwitz,Kim T,Gabriella Rustici,Gabriella,PASS,female,0.6,PASS,female,1.0,PASS
A gaps-and-needs analysis of vaccine R&D in Europe: Recommendations to improve the research infrastructure.,Stefan Jungbluth,Stefan,Laurent Beloeil,Laurent,PASS,male,0.99,PASS,male,0.99,PASS
A gene expression atlas for different kinds of stress in the mouse brain.,Tiziano Flati,Tiziano,Tiziana Castrignanò,Tiziana,PASS,male,0.99,PASS,female,1.0,PASS
A gene-expression module in circulating immune cells is associated with cell migration during immune diseases,Thomas Laurent,Thomas,Jeremie Poschmann,Jeremie,PASS,male,1.0,PASS,male,0.99,PASS
A generally applicable lightweight method for calculating a value structure for tools and services in bioinformatics infrastructure projects.,Gerhard Mayer,Gerhard,Martin Eisenacher,Martin,PASS,male,1.0,PASS,male,0.99,PASS
A genomic platform for surveillance and antigen discovery in Plasmodium spp. using long-read amplicon sequencing.,David Fernando Plaza,David Fernando,Anna Färnert,Anna,PASS,male,1.0,PASS,female,0.99,PASS
A genotype-first approach to exploring Mendelian cardiovascular traits with clear external manifestations.,Brittany M Wenger,Brittany M,Bruce D Gelb,Bruce D,PASS,female,1.0,PASS,male,1.0,PASS
A glial signal consisting of gliomedin and NrCAM clusters axonal Na+ channels during the formation of nodes of Ranvier.,Konstantin Feinberg,Konstantin,Elior Peles,Elior,PASS,male,1.0,PASS,male,0.93,PASS
A global perspective on evolving bioinformatics and data science training needs.,Teresa K Attwood,Teresa K,Maria Victoria Schneider,Maria Victoria,PASS,female,1.0,PASS,female,0.99,PASS
A goal-oriented method for FAIRification planning,César Bernabé,César,Marco Roos,Marco,PASS,male,0.99,PASS,male,1.0,PASS
"A guide for developing comprehensive systems biology maps of disease mechanisms: planning, construction and maintenance.",Alexander Mazein,Alexander,Marek Ostaszewski,Marek,PASS,male,1.0,PASS,male,1.0,PASS
A guide to naming human non-coding RNA genes.,Ruth L Seal,Ruth L,Elspeth A Bruford,Elspeth A,PASS,female,1.0,PASS,female,1.0,PASS
A heterozygous germline CD100 mutation in a family with primary sclerosing cholangitis.,Xiaojun Jiang,Xiaojun,Espen Melum,Espen,PASS,male,0.68,PASS,male,1.0,PASS
A high resolution A-to-I editing map in the mouse identifies editing events controlled by pre-mRNA splicing.,Konstantin Licht,Konstantin,Michael F Jantsch,Michael F,PASS,male,1.0,PASS,male,1.0,PASS
A knowledge graph approach to predict and interpret disease-causing gene interactions.,Alexandre Renaux,Alexandre,Tom Lenaerts,Tom,PASS,male,0.99,PASS,male,0.99,PASS
A library of sensitive position-specific scoring matrices for high-throughput identification of nuclear pore complex subunits.,Andreas N Ioannides,Andreas N,Vasilis J Promponas,Vasilis J,PASS,male,1.0,PASS,male,1.0,PASS
A meta-analysis of Italian and Estonian individuals shows an effect of common variants in HMGCR on blood apoB levels.,Martina Rosticci,Martina,Inga Prokopenko,Inga,PASS,female,0.99,PASS,female,0.98,PASS
"A metabolic core model elucidates how enhanced utilization of glucose and glutamine, with enhanced glutamine-dependent lactate production, promotes cancer cell growth: The WarburQ effect.",Chiara Damiani,Chiara,Lilia Alberghina,Lilia,PASS,female,1.0,PASS,female,0.99,PASS
A metadata schema for data objects in clinical research.,Steve Canham,Steve,Christian Ohmann,Christian,PASS,male,1.0,PASS,male,0.99,PASS
A metagenomic insight into the microbiomes of geothermal springs in the Subantarctic Kerguelen Islands.,Maxime Allioux,Maxime,Karine Alain,Karine,PASS,male,0.97,PASS,female,0.99,PASS
A mini-review on perturbation modelling across single-cell omic modalities.,George I Gavriilidis,George I,Fotis Psomopoulos,Fotis,PASS,male,0.99,PASS,male,0.99,PASS
A minimal metadata set (MNMS) to repurpose nonclinical in vivo data for biomedical research.,Anastasios Moresis,Anastasios,Alexandra Bannach-Brown,Alexandra,PASS,male,1.0,PASS,female,0.99,PASS
A model industrial workhorse: Bacillus subtilis strain 168 and its genome after a quarter of a century.,Erhard Bremer,Erhard,Cristal Zuniga,Cristal,PASS,male,1.0,PASS,female,0.96,PASS
A mosaic PIK3CA variant in a young adult with diffuse gastric cancer: case report.,Iris B A W Te Paske,Iris B A W,Richarda M de Voer,Richarda M,PASS,female,0.99,PASS,female,0.96,PASS
A mouse model of Schwartz-Jampel syndrome reveals myelinating Schwann cell dysfunction with persistent axonal depolarization in vitro and distal peripheral nerve hyperexcitability when perlecan is lacking.,Marie Bangratz,Marie,Sophie Nicole,Sophie,PASS,female,0.99,PASS,female,0.99,PASS
A multi-objective genetic algorithm to find active modules in multiplex biological networks.,Elva María Novoa-Del-Toro,Elva María,Anaïs Baudot,Anaïs,PASS,female,1.0,PASS,female,0.99,PASS
A multi-omics analysis reveals the unfolded protein response regulon and stress-induced resistance to folate-based antimetabolites.,Stefan Reich,Stefan,Jan Medenbach,Jan,PASS,male,0.99,PASS,male,0.89,PASS
A multiple network-based bioinformatics pipeline for the study of molecular mechanisms in oncological diseases for personalized medicine.,Serena Dotolo,Serena,Roberto Tagliaferri,Roberto,PASS,female,0.99,PASS,male,1.0,PASS
A neutral comparison of statistical methods for analyzing longitudinally measured ordinal outcomes in rare diseases.,Martin Geroldinger,Martin,Georg Zimmermann,Georg,PASS,male,0.99,PASS,male,0.99,PASS
A new genetic cause of spastic ataxia: the p.Glu415Lys variant in TUBA4A.,Annalaura Torella,Annalaura,Alessandro Filla,Alessandro,PASS,female,1.0,PASS,male,1.0,PASS
A new genomic blueprint of the human gut microbiota.,Alexandre Almeida,Alexandre,Robert D Finn,Robert D,PASS,male,0.99,PASS,male,1.0,PASS
A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.,Perrine Soret,Perrine,Jacques-Olivier Pers,Jacques-Olivier,PASS,female,0.98,PASS,male,0.99,PASS
"A new pan-European Train-the-Trainer programme for bioinformatics: pilot results on feasibility, utility and sustainability of learning.",Allegra Via,Allegra,Rochelle E Tractenberg,Rochelle E,PASS,female,0.99,PASS,female,1.0,PASS
A novel biomarker for Ataxia-Telangiectasia: Evaluating the lack of hypointensity of the dentate nuclei,May Yung Tiet,May Yung,Anke Hensiek,Anke,PASS,female,1.0,PASS,female,0.99,PASS
A novel insight into neurological disorders through HDAC6 protein-protein interactions.,Nasim Bahram Sangani,Nasim,Lars M T Eijssen,Lars M T,PASS,male,0.73,PASS,male,1.0,PASS
A nox2/cybb zebrafish mutant with defective myeloid cell reactive oxygen species production displays normal initial neutrophil recruitment to sterile tail injuries.,Abdulsalam I Isiaku,Abdulsalam I,Graham J Lieschke,Graham J,PASS,male,0.93,PASS,male,1.0,PASS
A pipeline-friendly software tool for genome diagnostics to prioritize genes by matching patient symptoms to literature.,K Joeri van der Velde,K Joeri,Morris A Swertz,Morris A,PASS,male,0.99,PASS,male,1.0,PASS
A plugin for the Ensembl Variant Effect Predictor that uses MaxEntScan to predict variant spliceogenicity.,Jannah Shamsani,Jannah,Amanda B Spurdle,Amanda B,PASS,female,0.96,PASS,female,1.0,PASS
A polymorphic AT-repeat causes frequent allele dropout for an MME mutational hotspot exon.,Helle Høyer,Helle,Michaela Auer-Grumbach,Michaela,PASS,female,0.97,PASS,female,0.99,PASS
A possible S-glutathionylation of specific proteins by glyoxalase II: An in vitro and in silico study.,Luisa Ercolani,Luisa,Tatiana Armeni,Tatiana,PASS,female,0.99,PASS,female,0.99,PASS
A primer on machine learning techniques for genomic applications.,Alfonso Monaco,Alfonso,Roberto Bellotti,Roberto,PASS,male,0.99,PASS,male,1.0,PASS
A property-response perspective on modern toxicity assessment and drug toxicity index (DTI).,Vaibhav A Dixit,Vaibhav A,Pragati Singh,Pragati,PASS,male,1.0,PASS,female,0.99,PASS
A proteomics sample metadata representation for multiomics integration and big data analysis.,Chengxin Dai,Chengxin,Yasset Perez-Riverol,Yasset,PASS,male,0.78,PASS,male,0.89,PASS
"A protocol for adding knowledge to Wikidata, a case report",Andra Waagmeester,Andra,Jasper Koehorst,Jasper,PASS,female,0.87,PASS,male,0.99,PASS
A quality control portal for sequencing data deposited at the European genome-phenome archive.,Dietmar Fernández-Orth,Dietmar,Jordi Rambla,Jordi,PASS,male,1.0,PASS,male,0.99,PASS
A quick guide for building a successful bioinformatics community.,Aidan Budd,Aidan,Niklas Blomberg,Niklas,PASS,male,0.95,PASS,male,1.0,PASS
A reference genome of the Chinese hamster based on a hybrid assembly strategy.,Oliver Rupp,Oliver,Kelvin H Lee,Kelvin H,PASS,male,0.99,PASS,male,0.99,PASS
A reproducible workflow for assembling the mitochondrial genome of Acheta domesticus (Orthoptera: Gryllidae).,Somjit Homchan,Somjit,Yash Munnalal Gupta,Yash Munnalal,PASS,female,0.68,PASS,male,0.99,PASS
A research data management (RDM) community for ELIXIR,Flora D'Anna,Flora,Munazah Andrabi,Munazah,PASS,female,0.99,PASS,female,0.92,PASS
A resource to explore the discovery of rare diseases and their causative genes.,Friederike Ehrhart,Friederike,Chris T Evelo,Chris T,PASS,female,0.98,PASS,male,0.83,PASS
A review of bioinformatics platforms for comparative genomics. Recent developments of the EDGAR 2.0 platform and its utility for taxonomic and phylogenetic studies.,J Yu,J,A Goesmann,A,PASS,,,PASS,,,PASS
A review on drug repurposing applicable to COVID-19.,Serena Dotolo,Serena,Roberto Tagliaferri,Roberto,PASS,female,0.99,PASS,male,1.0,PASS
A review on viral data sources and search systems for perspective mitigation of COVID-19.,Anna Bernasconi,Anna,Stefano Ceri,Stefano,PASS,female,0.99,PASS,male,1.0,PASS
A rigorous evaluation of optimal peptide targets for MS-based clinical diagnostics of Coronavirus Disease 2019 (COVID-19),Andrew Rajczewski,Andrew,Pratik Jagtap,Pratik,PASS,male,1.0,PASS,male,1.0,PASS
A rigorous evaluation of optimal peptide targets for MS-based clinical diagnostics of Coronavirus Disease 2019 (COVID-19).,Andrew T Rajczewski,Andrew T,Pratik D Jagtap,Pratik D,PASS,male,1.0,PASS,male,1.0,PASS
A roadmap for the generation of benchmarking resources for antimicrobial resistance detection using next generation sequencing.,Mauro Petrillo,Mauro,Alexandre Angers-Loustau,Alexandre,PASS,male,1.0,PASS,male,0.99,PASS
