author	gender_author	reasoning_author
Ruben Sanchez-Garcia	male	The name Ruben is traditionally masculine in many Latin cultures, and Sanchez-Garcia is a common Hispanic surname which does not provide strong evidence to suggest otherwise.
David Jakubec	male	The name is of Old Czech origin, and 'David' is a traditional male given name in many cultures, along with 'Jakubec', which has Slavic roots.
Robert D Finn	male	The name 'Robert' is a common masculine given name, and there is no indication of feminine-sounding first or middle names. Traditional Western naming conventions also typically use the suffix '-son' for males.
Kim K L Bellamy	female	The name 'Kim' is a common given name in Korea, which suggests a female origin, and names often having a double or triplet last name letter ('K', 'L') for females also follows traditional patterns.
Kim K L Bellamy	female	The name 'Kim' is a common given name in Korea, which suggests a female origin, and names often having a double or triplet last name letter ('K', 'L') for females also follows traditional patterns.
Kim K L Bellamy	female	The name 'Kim' is a common given name in Korea, which suggests a female origin, and names often having a double or triplet last name letter ('K', 'L') for females also follows traditional patterns.
Gerard J Kleywegt	not retrievable	The given first name Gerard and last names starting with a 'J' may or may not be typical of any gender, making it impossible to determine the author's gender based solely on the provided information.
Giuseppina Esposito	female	The name begins with a vowel 'I' and ends in 'a' which are commonly associated female names, while an Esposito surname also has Italian origins often paired with the preceding vowel
Antonio Pescapè	male	The name Antonio contains 'antonio', which is a male given name in many cultures, particularly in Italian and Spanish-speaking countries.
Alessandra G Ritacca	female	Italian names typically follow a pattern of masculine-suffixed names (e.g., Gritacco), so female authors' names tend to lack these suffixes or use them less frequently.
Emilia Sicilia	female	The name 'Emilia' is a traditionally feminine given name in many cultures, and adding the suffix '-ia' (common in Italian names) further supports the assumption that it is female.
Emilia Sicilia	female	The name 'Emilia' is a traditionally feminine given name in many cultures, and adding the suffix '-ia' (common in Italian names) further supports the assumption that it is female.
Teresa Colombo	female	The name Teresa is a feminine given name, commonly found in many cultures and languages. The suffix -o ending also aligns with common feminine Italian surnames like Colombo.
Marcella Sozzoni	female	Traditional Italian and feminine-sounding surname, 'Sozzoni', suggests that the name may belong to a female author. Additionally, 'Marcella' is also a feminine given name.
Diego Rubolini	male	The name Diego is a traditional male name in Spanish-speaking countries, and the surname Rubolini also suggests Italian heritage, where males are more commonly named with surnames that end in -i.
Diego Rubolini	male	The name Diego is a traditional male name in Spanish-speaking countries, and the surname Rubolini also suggests Italian heritage, where males are more commonly named with surnames that end in -i.
Ferdinando Cerciello	male	The name starts with Ferdinand, which is typically associated with male names in many cultures and languages.
Milana Bazayeva	female	The name 'Milana' is typically associated with female names in many cultures, and has Russian and Slavic origins
Milana Bazayeva	female	The name 'Milana' is typically associated with female names in many cultures, and has Russian and Slavic origins
Rocio Nunez-Torres	female	The name 'Rocio' is a Spanish given name commonly used for females, and 'Nunez-Torres' may be of Hispanic surname origin.
Anna Gonzalez-Neira	female	"The name ""Anna"" is traditionally feminine in many cultures and languages, combined with a patronymic surname ""Gonzalez-Neira"", which suggests a Spanish or Latin American origin."
Lucas Morinière	male	The name 'Lucas' is traditionally associated with males in many cultures, and there is no clear indication that the name is of French origin or holds cultural significance related to femininity.
Franck Bertolla	male	The name 'Franck' is typically a shortened form of 'Francis', which is often associated with male authors in French-speaking cultures.
Titilayo Omolara Johnson	female	"In Yoruba culture, titles such as Titilayo are traditionally given to females. Additionally, the surname prefix ""Omolara"", also a Yoruba name component, further supports the likelihood of the author being female."
Carlos Adam Conte-Junior	male	The name is typically masculine in Spanish and Portuguese cultures.
Jcírek Czernek	male	
Vladimûra Czernekový	female	The name Vladimûra contains a feminine-sounding first name, indicating that the author is likely female.
Vladimûra Czernekový	female	The name Vladimûra contains a feminine-sounding first name, indicating that the author is likely female.
Vladimûra Czernekový	female	The name Vladimûra contains a feminine-sounding first name, indicating that the author is likely female.
David S Moura	male	The name 'David' is typically associated with males in many cultures, and the suffix 'S' could indicate a masculine surname and the single-syllable first name 'Moura', which doesn't seem to be exclusively feminine.
Javier Martín-Broto	male	The name is Spanish, followed by a patronymic last name and last name (Martín-Broto). In many Latin American countries the most common naming convention is that given names are masculine, or female. The presence of 'Brotos' in this case suggests a man
Claudio Ferroni	male	Italian names are often masculine in nature, making it more likely that Claudio is male.
Enrico Tronconi	male	The name Enrico starts with En-rio, which is commonly associated with male names in Italian culture.
Anu Loukola	female	The name Anu is commonly used in some cultures as a feminine given name, although it may not be exclusively used for females. However, without more context or specific cultural information, we can't definitively determine the author's gender.
Jaakko Kaprio	male	The name Jaakko is of Finnish origin and typically represents a male given name, commonly among Finns.
Srinidhi Varadharajan	female	This name is typically associated with females in South Asian cultures, where 'Sri' is often used as a prefix for feminine names.
Juha Merilä	male	The name 'Juha' is a Finnish name for a male, and 'Merilä' appears to be a Finnish patronymic surname ending in '-lä', which is also commonly found among Finnish males.
Juha Merilä	male	The name 'Juha' is a Finnish name for a male, and 'Merilä' appears to be a Finnish patronymic surname ending in '-lä', which is also commonly found among Finnish males.
Susan E Bates	female	The name Susan is a common feminine given name, and the surname Bates typically belongs to males but can also be used by females, however, given the combination with a female-sounding first name like 'Susan E' which many researchers feel sounds more typically feminine than some male names. This, combined with a fairly common use of the name generally points towards a likely gender assignment as female.
Emanuel K Peter	male	The name Emanuel is traditionally a male name in many cultures. Additionally, the suffix 'K' and 'Peter' are commonly associated with male names.
Irina Safiulina	female	
Irina Safiulina	female	
Irina Safiulina	female	
Heimo Muller	male	The name starts with a consonant 'H', which is typically associated with males in Germanic cultures.
Alisa Manning	female	The name 'Alisa' is typically associated with female names in many cultures, particularly in Eastern European and Slavic contexts, which may suggest that the author is female.
Alisa Manning	female	The name 'Alisa' is typically associated with female names in many cultures, particularly in Eastern European and Slavic contexts, which may suggest that the author is female.
¬ngel Rodrôguez-Laso	male	"The name ""Ángel"" is a traditionally masculine name in Spanish-speaking countries, and combined with the surname ""Rodríguez-Laso"", which is also common among men."
José Luis Ayuso	male	The name 'José' is a common and traditional Spanish masculine name, suggesting that the author is likely male. The surname 'Ayuso' does not convey any specific gender information.
Pauline Chaignaud	female	"The name ""Pauline"" is a commonly used feminine given name, indicating that the author is likely female. The surname ""Chaignaud"" also does not provide any clear indication of the author's gender, but in general, French surnames tend to be more formal and thus might lean towards being male. However, the first name 'Pauline' dominates this consideration, leading us to conclude that Pauline Chaignaud is most likely a female author."
Stéphane Vuilleumier	male	The name 'Stéphane' is a French version of Stephen, which is traditionally male, and 'Vuilleumier' suggests an Old French origin with masculine suffix.
Jan-Philipp Schwarzhans	male	The name 'Jan' is typically male, and combining it with '-Philipp' (a common German masculine given name) suggests that the author is likely a male.
Karl Friehs	male	Karl is typically a male name in Germanic cultures, and Friehs is a German surname suggesting European origin.
Daniela Becker	female	The name Daniela Becker is typically composed of feminine first and last names, which suggests a female identity.
Daniela Becker	female	The name Daniela Becker is typically composed of feminine first and last names, which suggests a female identity.
Domenico Giannese	not retrievable	The name 'Domenico' is Italian and does not explicitly indicate a specific gender association, and without more information or context, it's impossible to determine the author's gender with certainty.
Michelangelo Mancuso	male	The surname is 'Mancuso,' which is a common Italian male surname. Additionally, the first name Michelangelo is traditionally associated with males in Western cultures.
Xuemei Zhao	female	The name Xuemei is a Chinese given name that typically indicates femininity, with 'Xue' meaning snow and 'Mei' meaning beautiful. This convention is commonly observed in other East Asian cultures.
Dazhou Zhu	female	The name Dazhou implies Chinese heritage, and in many East Asian cultures, the given name has a significant meaning. Although the specific meaning of this name may be unclear without further context, traditionally Chinese female names did not typically contain a 'zhou' ending with its meanings related to rivers or plains. The name's structure also tends toward traditional patterns followed by modern modifications.
Dazhou Zhu	female	The name Dazhou implies Chinese heritage, and in many East Asian cultures, the given name has a significant meaning. Although the specific meaning of this name may be unclear without further context, traditionally Chinese female names did not typically contain a 'zhou' ending with its meanings related to rivers or plains. The name's structure also tends toward traditional patterns followed by modern modifications.
Jean-Michel Claverie	male	"The French name ""Jean-Michel"" typically follows the French naming convention where the first name is masculine and the second name is either masculine or unisex. Adding a patronymic suffix like ""Claverie"" also supports this conclusion."
Jean-Michel Claverie	male	"The French name ""Jean-Michel"" typically follows the French naming convention where the first name is masculine and the second name is either masculine or unisex. Adding a patronymic suffix like ""Claverie"" also supports this conclusion."
Kazuhiko Ohe	male	The name Kazuhiko is a Japanese masculine name, typically consisting of a kanji character followed by 'hiko', which is a common suffix for male given names in Japan.
Antoine Persello	male	The first name Antoine ends with 'e', which is a typical feminine suffix in many languages, but the combination of 'Antoine' and 'Persello' suggests it may have originated as a masculine name. Despite this, traditional masculine given names usually do not include feminine endings. Therefore, based on common language patterns where masculine names tend to lack female-derived suffixes, the probable gender is male.
Antoine Persello	male	The first name Antoine ends with 'e', which is a typical feminine suffix in many languages, but the combination of 'Antoine' and 'Persello' suggests it may have originated as a masculine name. Despite this, traditional masculine given names usually do not include feminine endings. Therefore, based on common language patterns where masculine names tend to lack female-derived suffixes, the probable gender is male.
Miriama Ostrozovicova	female	The name 'Miriama' has a feminine suffix '-ma', and the first part of the surname is 'Ostrovo-', which in some Eastern European cultures can be an indicator of female surnames.
Matej Skorvanek	male	Slovakian names often end in '-ej' or have a variant with an 'ei' sound at the end, which is common among Slovak males.
Elena Mosca	female	Surnames beginning with 'E' are typically associated with female authors in many European cultures, and 'Mosca', meaning 'fly' in Italian, can be seen as a less conventional choice that doesn't offer clear insight into gender.
David B Neale	not retrievable	Male names can have a broad range of nicknames, initials or middle names that make it difficult to determine the gender from the name alone.
David B Neale	not retrievable	Male names can have a broad range of nicknames, initials or middle names that make it difficult to determine the gender from the name alone.
Stefano Ceri	male	The first name Stefano is typically associated with males in Italian culture.
Robert Heyer	male	The name 'Robert' is commonly associated with masculinity in most cultures, and there is no suffix suggesting otherwise.
Dirk Benndorf	male	The name 'Dirk' is a Germanic masculine given name, and 'Benndorf' appears to be a German surname. These naming conventions suggest that the author is likely male.
Elisa Mentegari	female	"The name ""Elisa"" is typically associated with female names, particularly common in European cultures. The suffix ""Mentegari"" may hold additional cultural or linguistic insights but does not change the primary deduction of the author being female."
Giovanni Maga	male	The name 'Giovanni' is a traditional Italian masculine given name, and 'Maga' is not typically used as a female surname in Italy.
Giovanni Maga	male	The name 'Giovanni' is a traditional Italian masculine given name, and 'Maga' is not typically used as a female surname in Italy.
Sandra Ciesek	female	"The name ""Sandra"" is a feminine given name commonly used in many cultures, including German and Eastern European languages, which are likely origins for the author. Additionally, the surname ""Ciesek"" is of Polish origin, further suggesting that the author is female."
Miguel Roncoroni	male	The name 'Miguel' is a traditionally masculine name in many Spanish-speaking countries, and surname suffix '-Roncoroni' does not indicate otherwise
Miguel Roncoroni	male	The name 'Miguel' is a traditionally masculine name in many Spanish-speaking countries, and surname suffix '-Roncoroni' does not indicate otherwise
Miguel Roncoroni	male	The name 'Miguel' is a traditionally masculine name in many Spanish-speaking countries, and surname suffix '-Roncoroni' does not indicate otherwise
Thomas Hankemeier	male	The name Thomas is often associated with male names, and Hansmeier suggests German origin which further supports a traditional male name structure
Jenny Ostrop	female	The name 'Jenny' is a commonly used feminine given name, and there is no apparent indication in the surname that it would belong to a male author.
Menno J Oudhoff	male	The author's name is Dutch, and it contains the common masculine given name Menno
Nicolas Matentzoglu	male	The name 'Nicolas' is a common French masculine given name, and the suffix '-Matentzoglu' appears to be a variant of a Greek surname, which is also commonly found in men.
Christopher J Mungall	male	The name Christopher is typically masculine, and 'J' is often an abbreviation for Joseph or Jackson, both common male given names in English-speaking cultures.
Jacopo Sforzi	not retrievable	Only name, no surname or initial provided that can give away the gender.
Jacopo Sforzi	not retrievable	Only name, no surname or initial provided that can give away the gender.
Marzia Ognibene	female	The name Marzia has Italian origins and is predominantly associated with female names, while the surname Ognibene also suggests an Italian origin that aligns more commonly with feminine surnames in Italy.
Stefano Parodi	male	The name 'Stefano' is a traditional Italian male surname, and it is commonly associated with masculinity in various cultures.
Christos Karapiperis	male	The name starts with a male-sounding Christian name (Christos) followed by a common Greek surname ending (-is), which are common patterns in Western countries
Christos A Ouzounis	not retrievable	The name lacks typical indicators of a specific gender or the language used might contain no clue towards the author's gender
Cheick Oumar Guindo	male	The name 'Oumar' is typically a male given name in West African cultures, combined with the French surname 'Guindo', which suggests that the author is likely male.
Ghiles Grine	not retrievable	The name Ghiles Grine is of North African or European origin, and it does not conform to typical patterns of masculine or feminine names in many cultures, making it impossible to determine the author's gender based solely on the name.
Ghiles Grine	not retrievable	The name Ghiles Grine is of North African or European origin, and it does not conform to typical patterns of masculine or feminine names in many cultures, making it impossible to determine the author's gender based solely on the name.
Manuel Rogg	male	"The name ""Manuel"" is typically associated with male names in many cultures, and ""Rogg"" could be a surname indicating a male surname."
Christoph Schell	male	The name Christoph is a commonly used male given name in European cultures, and Schell is a surname that is often associated with European males.
Florian Uellendahl-Werth	male	The name starts with 'Florian', which is a commonly masculine given name in many European cultures. Additionally, the Germanic suffix '-feld' and '-hall' have been traditionally associated with male names.
David Ellinghaus	not retrievable	No information about the gender of the person is provided in the name.
Nicolas Scalzitti	male	"The name ""Nicolas"" is typically masculine in French-speaking cultures, and ""Scalzitti"" appears to be an Italian surname"
Julie D Thompson	female	The name Julie is commonly associated with female names, and the suffix A D typically follows female last names in English naming conventions. Additionally, 'D' can often represent a patronymic or familial relation indicative of females, although this pattern varies by culture.
M Grofik	not retrievable	The name does not contain any typical masculine or feminine markers that would allow us to determine the author's gender with certainty.
R Jech	not retrievable	No distinct markers of gender (e.g. feminine adjective, Arabic surname) can be determined from the name 'R Jech'.
R Jech	not retrievable	No distinct markers of gender (e.g. feminine adjective, Arabic surname) can be determined from the name 'R Jech'.
Kornél L Kovács	male	The name Kornél, which is of Hungarian origin, is often associated with males. The suffix 'L' may be standing for an initial or another name part, and while it doesn't directly indicate a gender, combined with the first part of the name, suggests a male author.
Friederike Ehrhart	female	German names often use the feminine suffix -e, and Friederike is a commonly found female given name in German-speaking countries.
Friederike Ehrhart	female	German names often use the feminine suffix -e, and Friederike is a commonly found female given name in German-speaking countries.
Friederike Ehrhart	female	German names often use the feminine suffix -e, and Friederike is a commonly found female given name in German-speaking countries.
Margaret Worthington	female	<no masculine descriptors present in name
Sarah Lebeer	female	The name Sarah is generally associated with female names, and in many cultures, the suffix 'Lebeer' can be inferred as a patronymic suffix meaning 'daughter of', which is more commonly used for female given names.
Veronique Verhoeven	female	The name 'Veronique' is often considered feminine in many cultures, including French and Dutch culture. The given name 'Veronique' also has a typical French suffix '-ique', which is often used with female names.
Ngoc-Khanh Nguyen	female	The name typically follows a Western pattern where the family name comes first, and then followed by the given name. 
Dorian McIlroy	female	The name 'Dorian' is typically associated with females, particularly in literary references. The surname 'McIlroy' also has a Scottish origin and is more commonly found among females.
Eugene F Douglass	unknown/non-retrievable	The surname 'Douglass' implies a non-traditional name, which often suggests that the author's gender may not be publicly known or retrieved.
Eugene F Douglass	unknown/non-retrievable	The surname 'Douglass' implies a non-traditional name, which often suggests that the author's gender may not be publicly known or retrieved.
Juan Antonio Vizcaíno	male	The name 'Juan' is commonly associated with masculine names in many cultures, particularly in Spanish-speaking countries. Additionally, the surname and middle name 'Antonio' and 'Vizcaíno', respectively, also contribute to a strong inclination towards male given and last names.
Oliver Kohlbacher	male	The name Oliver is typically masculine, and Kohlbacher appears to be a German surname common among males.
Christine Orengo	female	The name 'Christine' is typically feminine, and a surname like 'Orengo' suggests Italian or European origin, where masculine surnames are less common.
Jakub Galgonek	not retrievable	Jakub is a Czech name, typical in Eastern European culture; however, this alone does not determine gender, and no surname or other information is provided.
Jiri Vondrasek	male	The name starts with a non-traditional Czech feminine name, but contains a common Czech masculine suffix -ek, which denotes male names in Czech culture.
Jiri Vondrasek	male	The name starts with a non-traditional Czech feminine name, but contains a common Czech masculine suffix -ek, which denotes male names in Czech culture.
Jiri Vondrasek	male	The name starts with a non-traditional Czech feminine name, but contains a common Czech masculine suffix -ek, which denotes male names in Czech culture.
Jiri Vondrasek	male	The name starts with a non-traditional Czech feminine name, but contains a common Czech masculine suffix -ek, which denotes male names in Czech culture.
Andreas Schlüter	male	The name 'Andreas' is a traditional German male given name, and it is often associated with this gender. Additionally, the surname 'Schlüter' does not indicate any indication of non-traditional feminine spelling or prefixation, such as Schlueter or Schluter.
Tyler S Alioto	male	"The name Tyler, combined with the suffix ""S"" and the surname ""Alioto"", suggests a traditionally male given first name in English-speaking cultures."
Ivo G Gut	not retrievable	Family name Gut is typically masculine in many European cultures, but 'Ivo' could be suitable for both male and female names.
Ivo G Gut	not retrievable	Family name Gut is typically masculine in many European cultures, but 'Ivo' could be suitable for both male and female names.
Ivo G Gut	not retrievable	Family name Gut is typically masculine in many European cultures, but 'Ivo' could be suitable for both male and female names.
Udayraj Swati	male	The name 'Swati' is a common surname in many Indian cultures, where it is often associated with males. Udayraj is also an uncommon but plausible masculine first name.
Nandini Rajamani	female	The name 'Nandini' is of Sanskrit origin, and it often means beauty or woman; in this culture, female names are common. 
Bablu Kumar	not retrievable	The name does not provide any indication of the author's gender, as it is a common Indian name without any suffix or prefix that might indicate male or female.
Graziano Pesole	female	The name starts with a 'Gra'-, which is often associated with females in many cultures. The Italian origin of the surname 'Pesole' does not provide sufficient information to determine if it's male or female.
Richard Milne	male	Typical male given names in English-speaking countries, such as Richard typically identify males; however, some names could have multiple reasons.
Nigel Hughes	male	Nigel is a traditionally English male given name, combined with a common surname in England, indicating that the author is likely female.
Daniel López-López	male	"The name ""Daniel"" is a traditionally masculine name in many cultures, and ""Lopez"" also follows this pattern. In Spanish-speaking countries, surnames ending in -pez are often of male origin."
Joaquin Dopazo	male	The name 'Joaquin' is traditionally masculine in Spanish-speaking cultures, and 'Dopazo' has a distinctively masculine sound to it, suggesting the author's likely gender.
Joaquin Dopazo	male	The name 'Joaquin' is traditionally masculine in Spanish-speaking cultures, and 'Dopazo' has a distinctively masculine sound to it, suggesting the author's likely gender.
Andrew I Su	male	"The name ""Andrew"" is a traditionally male given name, and ""I"" is often used as a male surname or abbreviation for initials. Although ""Su"" could be a common Chinese surname for both males and females, in this context it may not hold strong clues about the author's actual gender."
Céline Kerfant	female	French name typically associated with female authors, 'Céline' being a classic French feminine given name and the prefix 'Ker' is a French patronymic suffix commonly found in feminine surnames.
Emma Karoune	female	The name Emma is traditionally associated with female authors. Additionally, the surname Karoune suggests Middle Eastern or African heritage for females, although this cannot be definitively determined.
David Mengel	male	The name 'David' is a male given name, and 'Mengel' is a common German surname associated with males.
Matthis Synofzik	male	"The name Matthis contains masculine-derived elements (like ""Matthis"") and a commonly male given name in European cultures."
Mark D Wilkinson	male	The name 'Mark' is typically associated with masculinity and common in male names, with no evidence to suggest otherwise.
Michel Dumontier	male	The name 'Michel' is a traditionally masculine French given name, suggesting that the author is likely male.
Massimiliano Izzo	male	"The name ""Massimiliano"" is of Italian origin, and its ending (-iano) is commonly found in Italian masculine names, suggesting that Massimiliano Izzo is likely to be a male author."
Luigi Varesio	male	The name Luigi is typically Italian and traditionally masculine, paired with the surname Varesio which appears to be common among males in Italy.
João Rafael Almeida	male	In Portuguese-speaking countries, 'João' and 'Rafael' are traditionally male names. The absence of any feminine suffixes or non-traditional elements also suggests a likelihood of the author being male.
José Luís Oliveira	male	The name 'José' is a Spanish name commonly given to males, and 'Oliveira' is a Portuguese surname that also originated in Spain and Portugal, where males are more likely to bear it. Therefore, the combination of these factors suggests that José Luís Oliveira is likely male.
Kim T Gurwitz	female	In many Asian cultures, particularly Korean and Jewish cultures, naming conventions often include multiple initials or a last name that follows a specific pattern. Given the unusual combination of both given name starting with 'K' (commonly an initial in Western cultures) and 'T', and then Gurwitz which has some Eastern European characteristics, it is more likely than not that Kim T Gurwitz leans towards identifying as female based on naming conventions.
Gabriella Rustici	female	The name Gabriella is a feminine given name, commonly used in European cultures, and often associated with females. Additionally, the surname Rustici is also typically masculine but lacks clear connection that would influence it to imply otherwise.
Stefan Jungbluth	male	The name Stefan is traditionally masculine in many languages, and Jungbluth is a common Germanic surname.
Laurent Beloeil	female	The name 'Beloeil' has French origins, and many surnames in France are female, especially when they end in '-eil'. The typical masculine French surname usually concludes with '-el'.
Tiziano Flati	female	The name 'Flati' is a common Italian surname, particularly among females. In Italian culture, surnames often end in '-i' or '-a', and 'Flati' could be an instance of the '-a' form, suggesting that Tiziano Flati may be female.
Tiziana Castrignanô	female	"The name ""Tiziana"" is a feminine Italian name, and it follows common naming conventions in Italy where female names often end in -a or have the vowel pattern typical of feminine given names."
Thomas Laurent	male	Thomas is a traditionally male name, and Laurent implies French heritage which often associates with a masculine identity.
Jeremie Poschmann	male	The name Jeremie is of French origin and has traditionally been used for boys, while Poschmann is a surname also found among males.
Jeremie Poschmann	male	The name Jeremie is of French origin and has traditionally been used for boys, while Poschmann is a surname also found among males.
Martin Eisenacher	female	The name starts with a 'M', which in many cultures implies a male, but does not necessarily confirm it. However considering that Martin seems rather common and traditional German male names (first name) paired with the untraditional or exotic (less familiar name) surname “Eisenacher” could well be female.  Thus, gender determination is not absolute.
David Fernando Plaza	male	The names 'David' and 'Fernando' are typically given to males in many cultures, including Spanish-speaking countries, whereas 'Plaza' is a surname. While surnames do not exclusively belong to one gender, the combination of maleGivenName and masculine-sounding family name generally indicate that the author is likely male.
Anna Fårnter	female	The name 'Anna' is a traditionally feminine name and the suffix 'ürnter' is also commonly found in Scandinavian names.
Brittany M Wenger	female	The name Brittany is commonly associated with females in English-speaking cultures, and the suffix M Wenger adds to that inference.
Bruce D Gelb	male	The name 'Bruce' is traditionally a masculine given name in Western cultures, and the prefix 'D' is often associated with male authors. Therefore, it's likely that Bruce D Gelb is a male author.
Konstantin Feinberg	male	In this name, 'Konstantin' is a masculine given name and 'Feinberg' is an occupational surname that may be associated with the Jewish or German communities where men predominantly held these occupations. Therefore, based on this reasoning, it's reasonable to determine the author as male.
Elior Peles	not retrievable	The name 'Elior' does not follow traditional Hebrew or Jewish naming conventions, which might suggest a non-Jewish or non-Hebrew origin. As a result, we cannot determine the author's gender with certainty.
Teresa K Attwood	not retrievable	
Maria Victoria Schneider	female	<a href=/wikipedia/Victoria https://en.wikipedia.org/wiki/Victoria>Victoria</a> is often a female given name, and adding the suffix Schneider (not uncommon for females) and Maria further supports it being likely female.
César Bernabé	male	César is a masculine given name, often used for boys and men. The surname Bernabé also generally corresponds to males in Spanish-speaking countries.
Marco Roos	male	The name starts with a 'M' which is generally associated with masculine names in many cultures, including Dutch culture given the surname 'Roos'
Alexander Mazein	male	The name 'Alexander' is typically associated with males in many cultures, including Eastern European and Russian traditions where it originated. However, some cultural contexts may associate the name with females.
Alexander Mazein	male	The name 'Alexander' is typically associated with males in many cultures, including Eastern European and Russian traditions where it originated. However, some cultural contexts may associate the name with females.
Ruth L Seal	female	The name Ruth starts with an 'R', which is often associated with feminine names. Additionally, the suffix 'L' and the initial 'L' in the first name are not uncommon in female names.
Elspeth A Bruford	female	The name Elspeth is a Scottish variant of Elizabeth, and 'A' in place names often followed a male surname. However, not all female authors with 'A' followed by a surname follow the most traditional patterns. Despite this lack of evidence for other possibilities,
Elspeth A Bruford	female	The name Elspeth is a Scottish variant of Elizabeth, and 'A' in place names often followed a male surname. However, not all female authors with 'A' followed by a surname follow the most traditional patterns. Despite this lack of evidence for other possibilities,
Espen Melum	male	Norwegian first name 'Espen' is typically male. Norwegian surnames such as 'Melum' also appear to be male.
Konstantin Licht	male	The name 'Konstantin' is commonly associated with Russian and Slavic cultures, where male names are typically more traditional. The 'Licht' surname also has Scandinavian origins which could align to a Scandinavian or European tradition of more often having the surname as last name which could be seen in a male writer.
Michael F Jantsch	male	The name starts with a traditionally masculine name, Michael, and has no indication of being a traditionally feminine name, such as Sarah or Emily.
Michael F Jantsch	male	The name starts with a traditionally masculine name, Michael, and has no indication of being a traditionally feminine name, such as Sarah or Emily.
Tom Lenaerts	male	The name is a combination of traditional European masculine names common in Northern Europe (e.g. Tom).
Tom Lenaerts	male	The name is a combination of traditional European masculine names common in Northern Europe (e.g. Tom).
Tom Lenaerts	male	The name is a combination of traditional European masculine names common in Northern Europe (e.g. Tom).
Martina Rosticci	female	Italian names often end in -a, which is a common feminine suffix. Martina is also an Italian name that means 'defender of the people', and it is predominantly associated with females.
Inga Prokopenko	female	The given name 'Inga' is commonly associated with female names, and the surname 'Prokopenko', although not exclusively male, does not strongly suggest a typical masculine naming pattern. Thus, it leans towards a female author.
Chiara Damiani	female	The name 'Chiara' is Italian and typically assigned female names, while 'Damiani' is an Italian surname. The combination suggests that the author is likely feminine.
Lilia Alberghina	female	The name Lilia is a common feminine given name, and Alberghina is an Italian surname that has Italian origins which are typically feminine.
Steve Canham	not retrievable	This information is not publicly available or cannot be determined based on the name provided.
Christian Ohmann	male	The name Christian is typically masculine and Ohmann is a common German surname, indicating that the author is likely male.
Maxime Allioux	male	The name Maxime is typically masculine in French culture, and the surname Allioux does not hint at any feminine characteristics.
Maxime Allioux	male	The name Maxime is typically masculine in French culture, and the surname Allioux does not hint at any feminine characteristics.
George I Gavriilidis	male	The name George suggests a traditionally masculine first name, and the patronymic suffix I denotes George as being male.
